Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,RB,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PE,rodada,ano
Janderson (ATA),Corinthians,170,13,237.0,-40.0,-123.0,7.0,1.0,1.0,,18.0,6.0,2.0,,,,,,,,,10.0,,13.0,32,2019
Patric (LAT),Atlético-MG,505,18,236.0,670.0,33.0,15.0,1.0,1.0,5.0,6.0,8.0,5.0,,,,,,3.0,,,26.0,1.0,46.0,32,2019
Júnior Urso (MEI),Corinthians,675,19,233.0,190.0,-78.0,27.0,1.0,,,20.0,7.0,10.0,,,,,,4.0,,,30.0,1.0,28.0,32,2019
Vinícius Araújo (ATA),Avaí,234,9,233.0,220.0,14.0,3.0,1.0,,,17.0,4.0,8.0,,,,,,,,,13.0,3.0,16.0,32,2019
Michel (LAT),Corinthians,400,10,231.0,920.0,163.0,9.0,1.0,,3.0,10.0,,,,,,,1.0,1.0,,,15.0,,13.0,32,2019
João Pedro (LAT),Bahia,482,7,227.0,320.0,42.0,6.0,,,2.0,6.0,3.0,2.0,,,,,,2.0,,,9.0,,8.0,32,2019
João Carlos (GOL),CSA,175,10,225.0,300.0,82.0,,,,1.0,1.0,,,,18.0,,,1.0,1.0,,14.0,1.0,,5.0,32,2019
Tinga (LAT),Fortaleza,199,18,224.0,0.0,0.0,16.0,1.0,2.0,3.0,6.0,4.0,,,,,,,,,,8.0,,63.0,32,2019
Arthur Caíke (ATA),Bahia,896,24,223.0,50.0,28.0,6.0,4.0,1.0,,12.0,17.0,8.0,1.0,,,,1.0,1.0,,,17.0,4.0,24.0,32,2019
Diego Tardelli (ATA),Grêmio,782,25,219.0,-160.0,-191.0,14.0,4.0,1.0,,20.0,7.0,14.0,,,,,,1.0,1.0,,22.0,5.0,54.0,32,2019
João Vitor (MEI),CSA,542,15,218.0,220.0,-24.0,40.0,,,,10.0,3.0,1.0,,,,,1.0,4.0,,,33.0,1.0,20.0,32,2019
Gilberto (MEI),Goiás,249,14,218.0,-260.0,-71.0,31.0,,,,10.0,2.0,2.0,,,,,,4.0,,,23.0,,18.0,32,2019
Tchê Tchê (MEI),São Paulo,606,30,218.0,610.0,73.0,40.0,1.0,,,37.0,15.0,12.0,,,,,,5.0,,,36.0,1.0,63.0,32,2019
Igor Rabello (ZAG),Atlético-MG,937,28,217.0,580.0,33.0,32.0,,,6.0,17.0,7.0,2.0,,,,,1.0,2.0,,,31.0,1.0,28.0,32,2019
Flávio (MEI),Bahia,386,24,213.0,270.0,60.0,46.0,,,,20.0,8.0,2.0,,,,,,2.0,,,45.0,1.0,31.0,32,2019
Renato (ATA),Chapecoense,508,12,211.0,200.0,-39.0,9.0,,,,24.0,6.0,5.0,,,,,,2.0,,,8.0,,10.0,32,2019
Gregore (MEI),Bahia,982,28,210.0,270.0,15.0,80.0,,1.0,,22.0,11.0,2.0,,,,,1.0,6.0,,,95.0,,79.0,32,2019
André Luís (ATA),Fortaleza,447,21,202.0,120.0,-50.0,5.0,2.0,,,46.0,6.0,6.0,3.0,,,,,4.0,,,15.0,4.0,26.0,32,2019
Jean Mota (MEI),Santos,843,23,196.0,690.0,149.0,15.0,1.0,1.0,,28.0,11.0,9.0,1.0,,,,,2.0,,,20.0,,43.0,32,2019
Daniel (MEI),Fluminense,436,25,195.0,-120.0,-153.0,19.0,1.0,3.0,,32.0,6.0,8.0,,,,,,2.0,,,15.0,1.0,70.0,32,2019
Betão (ZAG),Avaí,397,28,191.0,10.0,-14.0,32.0,,,6.0,28.0,3.0,1.0,,,,,1.0,6.0,,,20.0,,50.0,32,2019
Fred (ATA),Cruzeiro,624,26,190.0,360.0,76.0,5.0,5.0,3.0,,37.0,15.0,13.0,1.0,,,,,9.0,,,44.0,14.0,51.0,32,2019
Léo Pereira (ZAG),Athlético-PR,811,25,185.0,0.0,0.0,19.0,2.0,,7.0,13.0,6.0,3.0,,,,,,6.0,,,35.0,2.0,58.0,32,2019
Richard (MEI),Vasco,492,22,185.0,460.0,152.0,35.0,,1.0,,26.0,5.0,4.0,,,,,,6.0,,,33.0,,33.0,32,2019
Rossi (ATA),Vasco,477,24,185.0,300.0,30.0,19.0,1.0,2.0,,39.0,14.0,15.0,1.0,,,,,7.0,1.0,,30.0,4.0,63.0,32,2019
Alan Costa (ZAG),CSA,418,21,181.0,-100.0,-12.0,21.0,,,5.0,5.0,5.0,1.0,,,,,,4.0,,,17.0,3.0,28.0,32,2019
Euller (LAT),CSA,446,11,172.0,720.0,127.0,9.0,,,,6.0,7.0,4.0,1.0,,,,,1.0,,,9.0,1.0,13.0,32,2019
Ramón Martínez (MEI),Atlético-MG,414,8,171.0,120.0,-59.0,12.0,,,,4.0,1.0,,,,,,,1.0,,,5.0,1.0,7.0,32,2019
Camacho (MEI),Athlético-PR,334,6,167.0,-130.0,-43.0,11.0,,,,3.0,,1.0,,,,,,1.0,,,9.0,,9.0,32,2019
Darlan (MEI),Grêmio,199,10,167.0,190.0,-53.0,11.0,,1.0,,2.0,3.0,1.0,,,,,,,,,11.0,,13.0,32,2019
Bruno Nazário (MEI),Athlético-PR,244,13,164.0,-30.0,-7.0,6.0,,,,15.0,4.0,6.0,2.0,,,,,1.0,,,10.0,,15.0,32,2019
Evando Camillato (TEC),Avaí,626,8,163.0,71.0,-12.0,,,,,,,,,,,,,,,,,,,32,2019
José Welison (MEI),Atlético-MG,345,13,161.0,-300.0,-160.0,21.0,,,,8.0,5.0,,,,,,,2.0,,,16.0,,22.0,32,2019
Ricardo (ZAG),Avaí,318,21,159.0,-530.0,-88.0,19.0,,,7.0,5.0,5.0,2.0,,,,1.0,,4.0,,,21.0,3.0,47.0,32,2019
Marquinhos Gabriel (MEI),Cruzeiro,359,24,158.0,-160.0,-77.0,16.0,,2.0,,18.0,7.0,5.0,1.0,,,,,2.0,,,12.0,2.0,28.0,32,2019
Jean Cléber (MEI),CSA,342,19,152.0,360.0,2.0,22.0,,2.0,,15.0,5.0,3.0,,,,,,5.0,,,24.0,,24.0,32,2019
Tailson (ATA),Santos,112,9,152.0,-10.0,-25.0,3.0,1.0,,,10.0,6.0,5.0,,,,,,,,,16.0,3.0,17.0,32,2019
Marcos Júnior (MEI),Vasco,347,21,146.0,70.0,11.0,24.0,1.0,,,28.0,6.0,4.0,1.0,,,,,4.0,,,34.0,,50.0,32,2019
Thiago Heleno (ZAG),Athlético-PR,269,11,144.0,840.0,22.0,6.0,,,3.0,13.0,3.0,5.0,,,,,,5.0,,,16.0,,17.0,32,2019
Luciano Castán (ZAG),CSA,478,28,143.0,-190.0,-19.0,26.0,,,9.0,7.0,2.0,1.0,,,,1.0,,9.0,,,28.0,1.0,43.0,32,2019
Jackson (ZAG),Fortaleza,496,12,143.0,530.0,133.0,6.0,,,3.0,11.0,3.0,1.0,,,,,,2.0,,,10.0,1.0,21.0,32,2019
Leonardo Valencia (MEI),Botafogo,347,18,141.0,-150.0,-91.0,8.0,1.0,1.0,,7.0,12.0,4.0,,,,,,2.0,,,7.0,1.0,32.0,32,2019
Igor Gomes (MEI),São Paulo,156,21,138.0,10.0,-3.0,7.0,2.0,1.0,,19.0,5.0,5.0,,,,,,3.0,,,17.0,1.0,24.0,32,2019
Quintero (ZAG),Fortaleza,357,31,135.0,220.0,29.0,17.0,1.0,,6.0,11.0,2.0,1.0,,,,,,4.0,,,18.0,,43.0,32,2019
Di Santo (ATA),Atlético-MG,600,14,133.0,50.0,0.0,6.0,2.0,,,11.0,4.0,7.0,,,,,,2.0,1.0,,18.0,6.0,12.0,32,2019
Rafael Moura (ATA),Goiás,319,16,128.0,0.0,0.0,6.0,3.0,,,19.0,12.0,3.0,,,,,1.0,3.0,,,32.0,4.0,21.0,32,2019
Felipe Baxola (MEI),Ceará,410,18,124.0,130.0,26.0,10.0,,2.0,,4.0,6.0,7.0,1.0,,,,,2.0,,,13.0,,34.0,32,2019
Joel Carli (ZAG),Botafogo,652,22,120.0,520.0,107.0,15.0,,,6.0,16.0,4.0,1.0,1.0,,,,,8.0,,,22.0,1.0,47.0,32,2019
Luiz Fernando (MEI),Botafogo,316,27,115.0,0.0,0.0,18.0,1.0,,,34.0,15.0,5.0,1.0,,,,1.0,4.0,,,31.0,4.0,38.0,32,2019
Amaral (MEI),Chapecoense,287,10,107.0,80.0,-2.0,10.0,,,,2.0,3.0,,,,,,,1.0,,,9.0,,4.0,32,2019
Dawhan (MEI),CSA,527,26,106.0,-200.0,-14.0,33.0,,,,10.0,8.0,2.0,,,,,,7.0,,,27.0,,28.0,32,2019
Douglas (ZAG),Chapecoense,282,21,103.0,150.0,-30.0,14.0,,1.0,3.0,8.0,5.0,2.0,,,,,,7.0,,,23.0,,14.0,32,2019
Leo (GOL),Athlético-PR,212,5,98.0,0.0,0.0,,,,,1.0,,,,7.0,,,,1.0,,7.0,,,2.0,32,2019
Allan (MEI),Fluminense,314,24,87.0,830.0,110.0,31.0,,1.0,,30.0,14.0,11.0,,,,,1.0,9.0,,,52.0,,70.0,32,2019
Ramiro (MEI),Corinthians,855,16,74.0,70.0,8.0,11.0,,1.0,,12.0,6.0,1.0,,,,,,1.0,,,26.0,,22.0,32,2019
D'Alessandro (MEI),Internacional,588,18,72.0,120.0,42.0,8.0,1.0,1.0,,14.0,7.0,9.0,1.0,,,,,5.0,1.0,,5.0,6.0,63.0,32,2019
Hiago (ZAG),Chapecoense,132,3,67.0,0.0,0.0,2.0,,,,,,,,,,,,,,,2.0,,,32,2019
Lucas Barros (LAT),Botafogo,87,8,63.0,0.0,0.0,4.0,,,1.0,2.0,,,,,,,,1.0,,,7.0,,5.0,32,2019
Robinho (MEI),Cruzeiro,567,23,56.0,220.0,28.0,19.0,1.0,1.0,,24.0,16.0,5.0,,,,,,7.0,,,33.0,,96.0,32,2019
Yuri Lima (MEI),Fluminense,210,19,33.0,190.0,49.0,24.0,,,,10.0,3.0,1.0,,,,,,8.0,,,29.0,,27.0,32,2019
Wellington (MEI),Athlético-PR,79,24,-80.0,-230.0,1.0,13.0,,1.0,,14.0,3.0,3.0,,,,,,10.0,,,43.0,,50.0,32,2019
Wanderson (ZAG),Bahia,168,1,-250.0,0.0,0.0,,,,,1.0,,,,,,,,1.0,,,2.0,,,32,2019
Tadeu (GOL),Goiás,1602,31,730.0,100.0,-143.0,,,,10.0,7.0,,,,84.0,2.0,,,,,44.0,,,17.0,33,2019
Everton (ATA),Grêmio,1759,26,715.0,550.0,50.0,32.0,10.0,5.0,,24.0,28.0,17.0,2.0,,,,,3.0,,,16.0,1.0,44.0,33,2019
Jorge (LAT),Santos,1556,28,667.0,250.0,-64.0,54.0,1.0,4.0,14.0,46.0,14.0,13.0,,,,,,4.0,,,30.0,2.0,60.0,33,2019
Marcos Rocha (LAT),Palmeiras,1711,21,651.0,860.0,48.0,72.0,1.0,1.0,8.0,29.0,5.0,1.0,,,,,,3.0,,,33.0,1.0,70.0,33,2019
Carlos Sánchez (MEI),Santos,1588,29,622.0,1180.0,109.0,33.0,9.0,7.0,,67.0,29.0,20.0,2.0,,,,,4.0,1.0,,35.0,5.0,104.0,33,2019
Reinaldo (LAT),São Paulo,1446,30,604.0,-20.0,-18.0,54.0,5.0,1.0,12.0,35.0,23.0,9.0,2.0,,,,,6.0,1.0,,43.0,1.0,64.0,33,2019
Douglas Friedrich (GOL),Bahia,1450,32,597.0,400.0,35.0,1.0,,,14.0,9.0,,,,58.0,1.0,,,,,32.0,,,7.0,33,2019
Pedro Geromel (ZAG),Grêmio,1295,17,591.0,330.0,38.0,38.0,3.0,,6.0,12.0,5.0,1.0,,,,,,4.0,,,12.0,,26.0,33,2019
Gilberto (ATA),Bahia,1620,27,585.0,340.0,39.0,21.0,11.0,3.0,,17.0,25.0,15.0,2.0,,,,,1.0,,,28.0,8.0,31.0,33,2019
Víctor Cuesta (ZAG),Internacional,1560,26,584.0,1020.0,118.0,81.0,,,9.0,29.0,4.0,4.0,1.0,,,,,7.0,,,28.0,,40.0,33,2019
Eduardo Sasha (ATA),Santos,1758,32,571.0,240.0,-3.0,30.0,12.0,3.0,,27.0,20.0,18.0,2.0,,,,,1.0,,,18.0,8.0,51.0,33,2019
Daniel Alves (LAT),São Paulo,1731,15,567.0,1390.0,213.0,28.0,2.0,3.0,5.0,29.0,11.0,3.0,1.0,,,,,4.0,,,32.0,3.0,58.0,33,2019
Dudu (ATA),Palmeiras,1828,26,559.0,300.0,-45.0,12.0,6.0,4.0,,96.0,26.0,24.0,2.0,,,,,3.0,,,25.0,6.0,75.0,33,2019
Nino Paraíba (LAT),Bahia,1315,25,554.0,0.0,0.0,39.0,2.0,4.0,10.0,35.0,7.0,8.0,1.0,,,,,4.0,,,32.0,,59.0,33,2019
João Ricardo (GOL),Chapecoense,719,8,543.0,1100.0,170.0,,,,1.0,,,,,19.0,,,,,,9.0,,,2.0,33,2019
Rodrigo Lindoso (MEI),Internacional,1071,23,542.0,450.0,11.0,53.0,4.0,2.0,,23.0,12.0,6.0,2.0,,,,,2.0,,,32.0,1.0,36.0,33,2019
Rony (ATA),Athlético-PR,1416,26,538.0,760.0,127.0,24.0,6.0,6.0,,53.0,36.0,22.0,1.0,,,,,5.0,,,55.0,13.0,51.0,33,2019
Yony González (ATA),Fluminense,1358,29,528.0,590.0,16.0,28.0,5.0,2.0,,52.0,41.0,25.0,3.0,,,,,2.0,,,39.0,5.0,36.0,33,2019
Wellington Paulista (ATA),Fortaleza,1223,26,527.0,640.0,-55.0,10.0,13.0,3.0,,36.0,18.0,16.0,2.0,,,,,7.0,,,47.0,11.0,39.0,33,2019
Pedrinho (MEI),Corinthians,1167,23,519.0,0.0,0.0,23.0,5.0,4.0,,39.0,16.0,16.0,,,,,,,,,11.0,2.0,67.0,33,2019
Fagner (LAT),Corinthians,1387,23,511.0,1000.0,122.0,44.0,1.0,2.0,10.0,35.0,5.0,5.0,,,,,,5.0,,,21.0,,79.0,33,2019
Diogo Barbosa (LAT),Palmeiras,1328,24,506.0,20.0,-35.0,57.0,,1.0,9.0,20.0,4.0,3.0,,,,,,2.0,,,35.0,1.0,30.0,33,2019
Thiago Galhardo (MEI),Ceará,1199,29,498.0,400.0,47.0,25.0,10.0,1.0,,43.0,28.0,20.0,2.0,,,,,3.0,1.0,,29.0,9.0,76.0,33,2019
Rafael Vaz (ZAG),Goiás,1252,26,496.0,320.0,67.0,28.0,5.0,1.0,9.0,18.0,20.0,14.0,,,,1.0,,1.0,,,12.0,,106.0,33,2019
William Pottker (ATA),Internacional,725,9,496.0,150.0,-235.0,10.0,4.0,,,2.0,7.0,3.0,,,,,,1.0,,,11.0,,17.0,33,2019
Marinho (ATA),Santos,949,25,494.0,960.0,-75.0,26.0,6.0,3.0,,69.0,21.0,18.0,1.0,,,,1.0,8.0,,,37.0,7.0,38.0,33,2019
Alisson (MEI),Grêmio,758,19,484.0,-40.0,-25.0,17.0,3.0,6.0,,39.0,9.0,14.0,,,,,,5.0,,,19.0,,39.0,33,2019
Everaldo (ATA),Chapecoense,1743,30,471.0,1170.0,150.0,14.0,12.0,1.0,,50.0,46.0,25.0,1.0,,,,,8.0,1.0,,65.0,2.0,73.0,33,2019
Moisés (LAT),Bahia,1266,25,470.0,-10.0,-3.0,60.0,,2.0,10.0,11.0,10.0,4.0,,,,,1.0,4.0,,,48.0,2.0,43.0,33,2019
Victor Ferraz (LAT),Santos,1054,23,467.0,380.0,-168.0,36.0,,1.0,12.0,15.0,5.0,6.0,,,,,,3.0,,,12.0,1.0,59.0,33,2019
Jorge Sampaoli (TEC),Santos,1325,33,467.0,421.0,-85.0,,,,,,,,,,,,,,,,,,,33,2019
Tiago Volpi (GOL),São Paulo,1111,32,466.0,70.0,24.0,,,,13.0,9.0,,,,46.0,,,,1.0,,24.0,,,27.0,33,2019
Michael (ATA),Goiás,844,30,466.0,0.0,0.0,26.0,7.0,4.0,,44.0,30.0,21.0,2.0,,,,1.0,3.0,,,28.0,13.0,70.0,33,2019
Nikão (MEI),Athlético-PR,1573,20,462.0,550.0,-2.0,14.0,4.0,2.0,,18.0,22.0,19.0,1.0,,,,,2.0,,,16.0,4.0,30.0,33,2019
Gatito Fernández (GOL),Botafogo,1011,26,462.0,0.0,0.0,,,,8.0,5.0,,,,50.0,,,,3.0,,31.0,,,14.0,33,2019
Kannemann (ZAG),Grêmio,1254,13,459.0,0.0,0.0,31.0,1.0,,6.0,13.0,1.0,,,,,,,7.0,,,26.0,,17.0,33,2019
Léo Sena (MEI),Goiás,843,27,457.0,40.0,-29.0,74.0,,1.0,,111.0,7.0,1.0,,,,,1.0,6.0,,,33.0,,69.0,33,2019
Renato Gaúcho (TEC),Grêmio,1260,33,457.0,218.0,-53.0,,,,,,,,,,,,,,,,,,,33,2019
Santos (GOL),Athlético-PR,975,23,454.0,0.0,0.0,,,,9.0,4.0,,,,30.0,2.0,,,1.0,,19.0,1.0,,20.0,33,2019
Otero (MEI),Atlético-MG,889,14,454.0,0.0,0.0,8.0,1.0,1.0,,41.0,23.0,21.0,,,,,,3.0,,,22.0,3.0,23.0,33,2019
Dyego Coelho (TEC),Corinthians,1185,3,453.0,519.0,61.0,,,,,,,,,,,,,,,,,,,33,2019
Paulo Victor (GOL),Grêmio,682,24,452.0,100.0,-76.0,,,,10.0,2.0,,,,33.0,,,,1.0,,18.0,,,11.0,33,2019
Danilo Avelar (LAT),Corinthians,996,22,451.0,1150.0,156.0,34.0,1.0,,11.0,27.0,4.0,7.0,,,,,,6.0,,,32.0,1.0,39.0,33,2019
Paulão (ZAG),Fortaleza,793,9,450.0,1220.0,150.0,10.0,2.0,,3.0,4.0,1.0,1.0,,,,,,1.0,,,6.0,,15.0,33,2019
Eduardo Barros (TEC),Athlético-PR,1121,3,448.0,484.0,35.0,,,,,,,,,,,,,,,,,,,33,2019
Jonatan Gomez (MEI),CSA,552,23,446.0,0.0,0.0,20.0,5.0,3.0,,65.0,17.0,14.0,1.0,,,,1.0,5.0,,,30.0,2.0,57.0,33,2019
Pedro Henrique (ZAG),Athlético-PR,845,13,446.0,0.0,0.0,15.0,,,6.0,13.0,3.0,2.0,,,,,,,,,2.0,,16.0,33,2019
Thiago Neves (MEI),Cruzeiro,855,26,436.0,10.0,-33.0,15.0,6.0,4.0,,29.0,35.0,20.0,1.0,,,,,8.0,,,22.0,2.0,61.0,33,2019
Luciano (ATA),Grêmio,706,21,436.0,140.0,-130.0,20.0,5.0,4.0,,29.0,15.0,14.0,1.0,,,,,6.0,1.0,,25.0,5.0,46.0,33,2019
Vladimir (GOL),Avaí,851,30,433.0,800.0,100.0,,,,8.0,3.0,,,,60.0,,,,3.0,,42.0,,,5.0,33,2019
Rodrigo Moledo (ZAG),Internacional,735,13,424.0,770.0,116.0,19.0,1.0,,4.0,6.0,2.0,2.0,,,,,,1.0,,,7.0,,9.0,33,2019
Marcelo Cirino (ATA),Athlético-PR,781,27,424.0,-350.0,-237.0,16.0,9.0,2.0,,25.0,17.0,7.0,1.0,,,,,,1.0,,21.0,7.0,36.0,33,2019
Guga (LAT),Atlético-MG,761,16,418.0,0.0,0.0,36.0,,4.0,1.0,13.0,3.0,1.0,,,,,,,,,13.0,2.0,49.0,33,2019
Weverton (GOL),Palmeiras,1343,23,415.0,370.0,78.0,,,,8.0,3.0,,,,31.0,1.0,,,2.0,,20.0,1.0,,6.0,33,2019
Bruno Cortez (LAT),Grêmio,586,17,413.0,60.0,-61.0,28.0,1.0,2.0,5.0,18.0,1.0,1.0,,,,,,3.0,,,17.0,4.0,31.0,33,2019
Carlinhos (LAT),CSA,716,26,411.0,-200.0,-36.0,41.0,2.0,,8.0,24.0,11.0,6.0,,,,1.0,,2.0,,,22.0,2.0,59.0,33,2019
Alex Santana (MEI),Botafogo,997,21,410.0,300.0,4.0,15.0,5.0,,,30.0,17.0,8.0,1.0,,,,,2.0,,,13.0,,23.0,33,2019
Marcelo Lomba (GOL),Internacional,1148,29,408.0,470.0,-40.0,,,,10.0,8.0,,,,42.0,,,1.0,1.0,,27.0,,,3.0,33,2019
Soteldo (MEI),Santos,1131,28,406.0,0.0,0.0,19.0,8.0,3.0,,39.0,19.0,17.0,3.0,,,,,10.0,,,23.0,16.0,61.0,33,2019
Éverson (GOL),Santos,822,27,404.0,-260.0,-218.0,,,,12.0,9.0,,,,33.0,1.0,,,1.0,,23.0,1.0,,42.0,33,2019
Bruno Pacheco (LAT),Chapecoense,1445,30,403.0,1090.0,153.0,56.0,,5.0,6.0,65.0,4.0,2.0,,,,,1.0,4.0,,,47.0,,67.0,33,2019
Gil (ZAG),Corinthians,1120,22,400.0,470.0,23.0,27.0,1.0,1.0,8.0,3.0,7.0,2.0,1.0,,,,,4.0,,,9.0,4.0,11.0,33,2019
Mano Menezes (TEC),Palmeiras,1067,29,399.0,534.0,40.0,,,,,,,,,,,,,,,,,,,33,2019
Roger Machado (TEC),Bahia,1156,33,398.0,219.0,-3.0,,,,,,,,,,,,,,,,,,,33,2019
Henrique Almeida (ATA),Chapecoense,507,11,392.0,460.0,-44.0,11.0,3.0,,,9.0,9.0,6.0,,,,,,3.0,,,11.0,1.0,14.0,33,2019
Fábio (GOL),Cruzeiro,1162,30,390.0,800.0,49.0,,,,12.0,5.0,,,,36.0,2.0,,,2.0,,30.0,,,11.0,33,2019
Gustavo Gómez (ZAG),Palmeiras,1215,17,386.0,0.0,0.0,23.0,2.0,,6.0,15.0,3.0,4.0,1.0,,,,1.0,6.0,,,18.0,2.0,18.0,33,2019
Zé Rafael (MEI),Palmeiras,1134,20,386.0,1400.0,152.0,28.0,1.0,3.0,,54.0,13.0,10.0,1.0,,,,,4.0,,,47.0,3.0,23.0,33,2019
Bruno Henrique (MEI),Palmeiras,1189,25,384.0,630.0,-34.0,33.0,6.0,1.0,,22.0,20.0,6.0,,,,,,2.0,,,41.0,,54.0,33,2019
Manoel (ZAG),Corinthians,1161,25,383.0,750.0,105.0,29.0,1.0,,12.0,13.0,6.0,2.0,,,,1.0,,1.0,,,24.0,,34.0,33,2019
Paolo Guerrero (ATA),Internacional,1170,19,381.0,130.0,24.0,9.0,5.0,1.0,,38.0,23.0,12.0,1.0,,,,1.0,2.0,1.0,,26.0,10.0,33.0,33,2019
Jefferson (LAT),Goiás,1095,30,380.0,50.0,4.0,46.0,1.0,2.0,9.0,30.0,7.0,3.0,,,,,,5.0,,,25.0,1.0,64.0,33,2019
Mateus Vital (MEI),Corinthians,768,25,379.0,280.0,31.0,21.0,2.0,2.0,,53.0,18.0,10.0,,,,,,1.0,,,12.0,1.0,24.0,33,2019
Marcão (TEC),Fluminense,723,12,378.0,152.0,-22.0,,,,,,,,,,,,,,,,,,,33,2019
Bruno Alves (ZAG),São Paulo,765,29,375.0,-140.0,-86.0,36.0,1.0,1.0,12.0,22.0,10.0,3.0,,,,,,5.0,,,41.0,1.0,33.0,33,2019
Gustavo Scarpa (MEI),Palmeiras,589,23,375.0,250.0,59.0,16.0,4.0,3.0,,18.0,20.0,17.0,,,,,,1.0,1.0,,15.0,2.0,52.0,33,2019
Dodô (LAT),Cruzeiro,700,17,374.0,660.0,-1.0,25.0,,,8.0,6.0,2.0,5.0,1.0,,,,,2.0,,,24.0,1.0,37.0,33,2019
Marcos Paulo (ATA),Fluminense,426,18,371.0,-70.0,-21.0,19.0,2.0,2.0,,12.0,13.0,6.0,1.0,,,,,,,,10.0,1.0,29.0,33,2019
Abel Braga (TEC),Cruzeiro,1004,18,371.0,402.0,-11.0,,,,,,,,,,,,,,,,,,,33,2019
Samuel Xavier (LAT),Ceará,1220,29,366.0,180.0,-27.0,38.0,,3.0,8.0,58.0,16.0,5.0,1.0,,,,,9.0,,,34.0,3.0,67.0,33,2019
Fabrício Bruno (ZAG),Cruzeiro,618,18,365.0,590.0,-4.0,14.0,,,10.0,11.0,3.0,1.0,,,,,,3.0,,,3.0,,22.0,33,2019
Lucas Veríssimo (ZAG),Santos,909,29,365.0,0.0,-88.0,55.0,1.0,1.0,12.0,18.0,11.0,3.0,2.0,,,1.0,2.0,7.0,,,58.0,1.0,61.0,33,2019
Deyverson (ATA),Palmeiras,993,19,363.0,230.0,-59.0,10.0,3.0,2.0,,52.0,21.0,12.0,,,,,,3.0,,,23.0,21.0,31.0,33,2019
Diogo Silva (GOL),Ceará,1076,32,361.0,370.0,66.0,1.0,,,8.0,13.0,,,,46.0,,,,2.0,,31.0,,,14.0,33,2019
Ricardinho (MEI),Ceará,732,29,361.0,80.0,-10.0,43.0,1.0,6.0,,9.0,24.0,16.0,,,,,,1.0,,,27.0,1.0,83.0,33,2019
Luan (MEI),Atlético-MG,835,23,360.0,390.0,42.0,44.0,3.0,1.0,,48.0,21.0,6.0,,,,,,5.0,1.0,,45.0,6.0,69.0,33,2019
Ney Franco (TEC),Goiás,933,31,358.0,155.0,-12.0,,,,,,,,,,,,,,,,,,,33,2019
Thonny Anderson (MEI),Athlético-PR,567,20,356.0,650.0,72.0,13.0,3.0,4.0,,19.0,7.0,13.0,3.0,,,,,4.0,,,26.0,3.0,32.0,33,2019
Roberto (LAT),Chapecoense,538,12,354.0,920.0,118.0,13.0,,1.0,2.0,24.0,11.0,5.0,,,,,,2.0,,,18.0,1.0,18.0,33,2019
Orejuela (LAT),Cruzeiro,679,18,354.0,830.0,-55.0,30.0,1.0,,6.0,20.0,4.0,4.0,,,,,1.0,2.0,,,35.0,1.0,35.0,33,2019
Adilson Batista (TEC),Ceará,1039,11,351.0,196.0,9.0,,,,,,,,,,,,,,,,,,,33,2019
Juninho (ZAG),Bahia,679,22,350.0,0.0,0.0,19.0,1.0,,10.0,12.0,5.0,4.0,,,,,,1.0,,,20.0,1.0,40.0,33,2019
Ricardo Bueno (ATA),CSA,1428,24,349.0,310.0,37.0,13.0,7.0,2.0,,41.0,13.0,9.0,,,,,,5.0,1.0,,29.0,13.0,28.0,33,2019
Rogério Ceni (TEC),Fortaleza,919,31,348.0,694.0,38.0,,,,,,,,,,,,,,,,,,,33,2019
Vagner Mancini (TEC),Atlético-MG,692,8,348.0,186.0,-34.0,,,,,,,,,,,,,,,,,,,33,2019
Fernando Diniz (TEC),São Paulo,724,27,345.0,160.0,-16.0,,,,,,,,,,,,,,,,,,,33,2019
Romarinho (ATA),Fortaleza,605,27,345.0,250.0,-29.0,18.0,3.0,3.0,,68.0,7.0,11.0,,,,,,1.0,,,17.0,2.0,47.0,33,2019
Boselli (ATA),Corinthians,421,17,337.0,-10.0,-25.0,2.0,5.0,2.0,,15.0,7.0,8.0,,,,,,3.0,,,10.0,2.0,21.0,33,2019
Iago Maidana (ZAG),Atlético-MG,390,4,335.0,0.0,0.0,6.0,1.0,,,2.0,2.0,,1.0,,,,,2.0,,,5.0,,9.0,33,2019
Digão (ZAG),Fluminense,573,17,331.0,-30.0,-70.0,26.0,1.0,,6.0,11.0,3.0,1.0,,,,,2.0,2.0,,,19.0,1.0,19.0,33,2019
Cacá (ZAG),Cruzeiro,367,15,328.0,580.0,6.0,13.0,1.0,,6.0,11.0,1.0,1.0,,,,,,4.0,,,12.0,,6.0,33,2019
Fábio Sanches (ZAG),Goiás,419,19,327.0,120.0,-51.0,17.0,1.0,,6.0,18.0,5.0,3.0,,,,,,3.0,,,12.0,,19.0,33,2019
Nino (ZAG),Fluminense,526,30,325.0,460.0,37.0,44.0,1.0,1.0,7.0,20.0,8.0,2.0,,,,,,7.0,,,25.0,,29.0,33,2019
Juninho (MEI),Fortaleza,889,28,321.0,1290.0,260.0,38.0,3.0,5.0,,24.0,20.0,11.0,,,,1.0,,4.0,,,49.0,,66.0,33,2019
Cássio (GOL),Corinthians,888,25,321.0,770.0,154.0,,,,11.0,5.0,,,,26.0,1.0,,,6.0,,23.0,1.0,,13.0,33,2019
