Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,RB,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PE,rodada,ano,DS,PI
Diego Pituca (MEI),Santos,5.99,5,1.52,-2.9,-1.59,,,,,3.0,,2.0,,,,,,1.0,,,2.0,,,5,2020,9.0,23.0
Vinícius (ATA),Vasco,3.42,1,1.5,1.5,-0.58,,,,,1.0,,1.0,,,,,,,,,,,,5,2020,,2.0
Everton Ribeiro (MEI),Flamengo,5.75,5,1.48,0.9,-0.16,,,,,11.0,2.0,1.0,,,,,,1.0,,,3.0,,,5,2020,6.0,34.0
Thuler (ZAG),Flamengo,3.39,1,1.4,1.4,-0.61,,,,,1.0,,,,,,,,,,,,,,5,2020,1.0,1.0
Zé Gabriel (MEI),Internacional,2.35,4,1.38,0.8,-0.1,,,,,2.0,1.0,,,,,,,,,,4.0,,,5,2020,7.0,13.0
Maílson (GOL),Sport,4.09,5,1.36,6.1,1.46,,,,,1.0,,,,6.0,,,,,,7.0,,,,5,2020,1.0,47.0
Rony (ATA),Palmeiras,10.63,4,1.35,0.0,-0.71,,,,,11.0,2.0,1.0,,,,,,1.0,,,11.0,1.0,,5,2020,7.0,19.0
Diego (ZAG),São Paulo,1.86,1,1.3,1.3,-0.14,,,,1.0,,,,,,,,,1.0,,,3.0,,,5,2020,,2.0
Morato (ATA),Bragantino,3.56,5,1.2,1.3,0.27,,,,,6.0,6.0,2.0,,,,,,,,,5.0,1.0,,5,2020,2.0,32.0
Ytalo (ATA),Bragantino,5.12,3,1.17,0.0,0.0,,,,,,2.0,1.0,,,,,,,,,,,,5,2020,1.0,3.0
Éderson (MEI),Corinthians,4.56,4,1.1,0.5,-0.31,,,,,2.0,1.0,1.0,,,,,,,,,3.0,,,5,2020,4.0,11.0
Ligger (ZAG),Bragantino,3.16,2,1.1,-0.6,-0.78,,,,,1.0,,1.0,,,,,,,,,2.0,,,5,2020,2.0,5.0
Muriel (GOL),Fluminense,5.05,5,1.08,11.9,3.19,,,,1.0,,,,,4.0,,,,,,5.0,,,,5,2020,,56.0
Zeca (LAT),Bahia,4.96,4,1.0,1.1,0.35,,,,1.0,,2.0,,,,,,,1.0,,,3.0,,,5,2020,2.0,11.0
Weverton (GOL),Palmeiras,9.54,3,0.97,1.3,-0.69,,,,1.0,,,,,1.0,,,,,,2.0,,,,5,2020,,21.0
Carlos Sánchez (MEI),Santos,5.41,5,0.96,0.5,-0.33,,,,,10.0,2.0,2.0,,,,,,,1.0,,4.0,1.0,,5,2020,7.0,47.0
Cantillo (MEI),Corinthians,5.56,4,0.93,2.8,0.4,,,,,4.0,1.0,1.0,,,,,,,,,4.0,,,5,2020,3.0,13.0
Gilberto (ATA),Bahia,6.38,3,0.9,-1.1,-0.68,,,,,3.0,1.0,4.0,,,,,,,1.0,,3.0,1.0,,5,2020,4.0,24.0
Lucas Veríssimo (ZAG),Santos,7.28,4,0.88,0.5,-0.81,,,,,,1.0,,,,,,,1.0,,,3.0,,,5,2020,8.0,18.0
David (ATA),Fortaleza,3.19,5,0.86,1.5,0.14,,,,,3.0,5.0,,,,,,,,,,10.0,2.0,,5,2020,6.0,12.0
Sassá (ATA),Coritiba,2.04,5,0.82,2.0,-0.65,,1.0,,,4.0,1.0,3.0,,,,,,2.0,,,8.0,3.0,,5,2020,,8.0
Matheus Bueno (MEI),Coritiba,1.48,4,0.82,1.1,0.04,,,,,2.0,1.0,,,,,,,,,,3.0,,,5,2020,4.0,10.0
Patrick Vieira (LAT),Coritiba,3.88,3,0.77,0.6,0.21,,,,,3.0,1.0,2.0,,,,,,1.0,,,4.0,1.0,,5,2020,5.0,29.0
Vitor Bueno (MEI),São Paulo,6.58,2,0.75,-0.4,-0.73,,,,,4.0,3.0,,,,,,,1.0,,,1.0,,,5,2020,1.0,14.0
Willian Farias (MEI),Sport,4.21,4,0.7,0.0,0.0,,,,,6.0,1.0,2.0,,,,,,3.0,,,9.0,,,5,2020,9.0,19.0
Ronaldo (MEI),Bahia,3.07,4,0.67,3.2,0.77,,,,,6.0,1.0,,,,,,,2.0,,,12.0,,,5,2020,10.0,11.0
Ricardinho (MEI),Sport,2.35,3,0.67,1.3,0.01,,,,,2.0,1.0,2.0,,,,,,1.0,,,3.0,,,5,2020,2.0,7.0
Rafael Forster (ZAG),Botafogo,2.65,3,0.63,-0.2,-0.46,,,,,1.0,,,,,,,,,,,,,,5,2020,2.0,6.0
Jackson (ZAG),Fortaleza,2.43,4,0.62,-0.9,-0.63,,,,,4.0,1.0,,,,,,,2.0,,,4.0,,,5,2020,7.0,13.0
Chico (ZAG),Sport,1.67,1,0.6,0.6,-0.33,,,,,1.0,,,,,,,,1.0,,,1.0,,,5,2020,3.0,4.0
Anderson (GOL),Bahia,2.31,2,0.55,0.0,-0.27,,,,,1.0,,,,2.0,,,,,,3.0,,,,5,2020,,14.0
Nino (ZAG),Fluminense,4.34,4,0.55,0.0,0.0,,,,,7.0,,,,,,,,1.0,,,4.0,,,5,2020,4.0,13.0
Kevin (LAT),Botafogo,2.17,2,0.55,0.5,-0.31,,,,,,,,,,,,,,,,,,,5,2020,2.0,9.0
Samuel Xavier (LAT),Ceará,4.59,5,0.52,5.0,1.55,,,,1.0,4.0,,,,,,,,2.0,,,12.0,,,5,2020,11.0,54.0
Edimar (LAT),Bragantino,2.89,5,0.52,-1.7,-0.29,,,,,3.0,5.0,1.0,,,,,,1.0,,,10.0,,,5,2020,10.0,71.0
Luiz Otávio (ZAG),Ceará,3.95,5,0.5,4.6,0.92,,,,1.0,1.0,1.0,,,,,,,2.0,,,4.0,,,5,2020,4.0,18.0
Yuri Lima (MEI),Fluminense,1.7,4,0.48,3.2,0.68,,,,,3.0,1.0,1.0,,,,,,2.0,,,6.0,,,5,2020,7.0,16.0
Bruno Henrique (MEI),Palmeiras,7.87,4,0.45,2.5,0.38,,,,,2.0,3.0,2.0,,,,,,1.0,,,7.0,1.0,,5,2020,4.0,20.0
Paulão (ZAG),Fortaleza,1.19,5,0.42,0.3,-0.03,,,,1.0,1.0,1.0,,,,,,,2.0,,,5.0,2.0,,5,2020,4.0,7.0
Felipe Alves (GOL),Fortaleza,1.81,5,0.16,0.7,0.47,,,,1.0,2.0,,,,2.0,,,,,,5.0,,,,5,2020,2.0,52.0
Mayke (LAT),Palmeiras,5.3,1,0.1,0.1,-1.7,,,,,1.0,,,,,,,,,,,2.0,,,5,2020,1.0,4.0
William Oliveira (MEI),Ceará,1.86,3,0.07,-0.6,-0.37,,,,,3.0,2.0,,,,,,,2.0,,,5.0,,,5,2020,4.0,4.0
Jair Ventura (TEC),Sport,5.45,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,5,2020,,
Jorginho (TEC),Coritiba,5.08,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,5,2020,,
Marcos Guilherme (MEI),Internacional,2.8,5,-0.06,-3.9,-1.41,,,,,5.0,1.0,1.0,,,,,,1.0,,,4.0,3.0,,5,2020,2.0,13.0
Lucas Lima (MEI),Palmeiras,4.26,4,-0.1,-1.9,-0.98,,,,,6.0,,,,,,,,1.0,,,4.0,,,5,2020,4.0,34.0
Weverson (LAT),Bragantino,0.75,5,-0.1,-0.1,0.0,,,,,1.0,1.0,1.0,,,,,,,,,5.0,1.0,,5,2020,1.0,10.0
Gabriel Sara (MEI),São Paulo,1.28,4,-0.58,-0.3,0.01,,,,,,2.0,1.0,,,,,,1.0,,,7.0,1.0,,5,2020,2.0,11.0
Dudu (LAT),Atlético-GO,2.13,3,-0.67,1.0,0.53,,,,1.0,1.0,,,,,,,1.0,,,,6.0,,,5,2020,3.0,25.0
Cleiton (GOL),Bragantino,0.75,5,-0.86,-4.6,-1.21,,,,,1.0,,,,3.0,,,,,,7.0,,,,5,2020,,28.0
Diego Alves (GOL),Flamengo,6.58,4,-1.35,-2.1,-0.75,,,,,2.0,,,,3.0,,,1.0,,,6.0,,,,5,2020,,14.0
Marinho (ATA),Santos,21.72,6,10.92,6.9,0.65,,3.0,2.0,,32.0,8.0,7.0,,,,,,1.0,,,7.0,2.0,,6,2020,9.0,18.0
Saravia (LAT),Internacional,20.41,5,9.78,6.6,0.06,,,1.0,4.0,11.0,1.0,1.0,,,,,,1.0,,,9.0,,,6,2020,26.0,31.0
João Paulo (GOL),Santos,7.81,4,9.08,5.5,0.27,,,,1.0,2.0,,,,10.0,,,,,,4.0,,,,6,2020,,17.0
Hernanes (MEI),São Paulo,9.84,1,8.9,8.9,-0.16,,1.0,,,2.0,1.0,,,,,,,,,,2.0,,,6,2020,1.0,9.0
Thiago Galhardo (MEI),Internacional,16.27,6,8.32,13.4,1.84,,4.0,2.0,,9.0,3.0,2.0,,,,,,,,,10.0,1.0,,6,2020,7.0,29.0
Reinaldo (LAT),São Paulo,14.92,4,7.58,0.0,0.0,,1.0,1.0,2.0,8.0,1.0,2.0,,,,,,2.0,,,7.0,,,6,2020,12.0,44.0
Fernando Sobral (MEI),Ceará,12.56,6,6.67,6.0,-0.27,,,3.0,,11.0,6.0,3.0,,,,,,1.0,,,13.0,1.0,,6,2020,24.0,39.0
Alisson (MEI),Grêmio,11.21,5,6.56,0.0,0.0,,,1.0,,9.0,4.0,10.0,1.0,,,,,,,,4.0,1.0,,6,2020,12.0,44.0
Daniel Bessa (MEI),Goiás,8.82,4,6.42,0.0,0.0,,2.0,,,2.0,1.0,2.0,1.0,,,,,2.0,,,6.0,,,6,2020,11.0,15.0
Jorginho (TEC),Coritiba,6.72,1,6.28,6.28,1.64,,,,,,,,,,,,,,,,,,,6,2020,,
Nenê (MEI),Fluminense,11.87,5,6.1,2.9,-0.74,,3.0,,,11.0,5.0,2.0,,,,,,1.0,,,4.0,,,6,2020,4.0,54.0
Gustavo Ferrareis (MEI),Atlético-GO,9.14,4,5.98,0.5,-0.48,,1.0,1.0,,12.0,5.0,2.0,,,,,,,,,7.0,2.0,,6,2020,6.0,30.0
Matheus Galdezani (MEI),Coritiba,11.46,6,5.95,4.8,-0.44,,,,,13.0,4.0,5.0,1.0,,,,,1.0,,,4.0,,,6,2020,25.0,40.0
Dodi (MEI),Fluminense,12.72,6,5.95,13.3,2.8,,1.0,,,10.0,3.0,2.0,,,,,,1.0,,,8.0,,,6,2020,26.0,21.0
Egídio (LAT),Fluminense,10.97,6,5.93,6.4,0.35,,,1.0,1.0,6.0,1.0,2.0,,,,,,,,,6.0,,,6,2020,30.0,76.0
Tiago Volpi (GOL),São Paulo,14.51,5,5.92,1.3,-0.67,,,,2.0,,,,,6.0,1.0,,,,,4.0,,,,6,2020,,34.0
Pedro Geromel (ZAG),Grêmio,11.59,3,5.87,0.0,0.0,,,,2.0,,2.0,,,,,,,1.0,,,5.0,,,6,2020,13.0,25.0
Jefferson (LAT),Goiás,5.99,2,5.85,0.0,0.0,,1.0,,1.0,1.0,,,,,,,,1.0,,,1.0,1.0,,6,2020,3.0,18.0
Jorginho (MEI),Atlético-GO,10.61,5,5.84,0.0,-0.83,,2.0,,,8.0,4.0,1.0,,,,,,,,,5.0,,,6,2020,10.0,27.0
Fellipe Bastos (MEI),Vasco,10.24,5,5.84,0.8,-0.11,,3.0,,,,,1.0,1.0,,,,,1.0,,,17.0,,,6,2020,14.0,25.0
Juninho Capixaba (LAT),Bahia,7.74,3,5.63,2.0,-0.77,,,1.0,1.0,3.0,1.0,2.0,,,,,,,,,3.0,,,6,2020,7.0,33.0
Romarinho (ATA),Fortaleza,10.4,6,5.63,10.9,1.35,,2.0,,,9.0,8.0,3.0,,,,,,,,,3.0,,,6,2020,7.0,22.0
Felipe Jonatan (LAT),Santos,11.0,6,5.47,3.7,0.35,,1.0,,1.0,10.0,4.0,1.0,,,,,,1.0,,,9.0,,,6,2020,22.0,51.0
Araos (MEI),Corinthians,8.42,5,5.46,0.3,-0.68,,1.0,2.0,,9.0,3.0,2.0,,,,,,1.0,,,4.0,,,6,2020,7.0,30.0
Wellington Paulista (ATA),Fortaleza,10.18,6,5.45,16.7,3.3,,3.0,1.0,,6.0,1.0,3.0,,,,,,,,,5.0,2.0,,6,2020,1.0,12.0
Carlinhos (MEI),Vasco,5.19,2,5.45,5.9,0.69,,,1.0,,1.0,1.0,1.0,,,,,,,,,2.0,,,6,2020,5.0,6.0
Ricardo (ZAG),Vasco,8.59,5,5.38,3.1,-0.82,,,,3.0,4.0,3.0,1.0,,,,,,1.0,,,3.0,,,6,2020,11.0,12.0
Leandro Castan (ZAG),Vasco,14.87,5,5.38,2.3,-0.92,,,,3.0,6.0,,,,,,,,,,,5.0,,,6,2020,13.0,16.0
Matheus Babi (ATA),Botafogo,7.04,5,5.32,1.1,-0.69,,1.0,1.0,,19.0,5.0,2.0,,,,,,2.0,,,11.0,3.0,,6,2020,11.0,23.0
Edson (MEI),Atlético-GO,8.19,5,5.24,5.5,0.38,,,1.0,,12.0,2.0,1.0,,,,,,1.0,,,10.0,,,6,2020,21.0,16.0
Moisés (LAT),Internacional,12.68,6,5.22,10.5,1.83,,,1.0,5.0,,3.0,1.0,,,,,,1.0,,,17.0,1.0,,6,2020,15.0,63.0
Cano (ATA),Vasco,11.07,5,5.2,0.5,-0.28,,3.0,,,1.0,2.0,3.0,,,,,,,,,3.0,4.0,,6,2020,1.0,12.0
Wilson (GOL),Coritiba,10.13,6,5.15,12.6,3.23,,,,1.0,1.0,,,,9.0,1.0,,,,,7.0,,,,6,2020,1.0,46.0
Ronaldo Henrique (MEI),Sport,4.33,1,5.1,5.1,0.33,,,,,2.0,,,,,,,,,,,1.0,,,6,2020,5.0,4.0
Ramon Menezes (TEC),Vasco,9.37,5,5.07,2.64,-0.24,,,,,,,,,,,,,,,,,,,6,2020,,
Kannemann (ZAG),Grêmio,12.14,4,5.05,0.0,0.0,,,,3.0,7.0,1.0,,,,,,,2.0,,,12.0,,,6,2020,12.0,11.0
Calegari (LAT),Fluminense,2.86,2,5.05,-0.2,-1.44,,,,1.0,5.0,1.0,,,,,,,,,,5.0,1.0,,6,2020,6.0,12.0
Eduardo Coudet (TEC),Internacional,12.86,6,5.03,5.72,0.39,,,,,,,,,,,,,,,,,,,6,2020,,
Boschilia (MEI),Internacional,9.12,5,5.02,14.1,2.55,,1.0,,,7.0,3.0,3.0,,,,,,1.0,,,12.0,,,6,2020,19.0,34.0
Victor Andrade (ATA),Goiás,6.89,4,4.97,0.0,0.0,,1.0,,,21.0,7.0,,,,,,,2.0,,,12.0,,,6,2020,7.0,12.0
Bruno Cortez (LAT),Grêmio,11.42,5,4.94,0.0,0.0,,,,3.0,4.0,1.0,,,,,,,1.0,,,6.0,1.0,,6,2020,16.0,36.0
Víctor Cuesta (ZAG),Internacional,12.58,6,4.87,4.6,-0.18,,,,5.0,6.0,,,,,,,,1.0,,,8.0,,,6,2020,11.0,38.0
Guilherme Arana (LAT),Atlético-MG,16.49,5,4.82,0.0,0.0,,,1.0,2.0,1.0,5.0,4.0,,,,,,,,,5.0,1.0,,6,2020,9.0,62.0
Élber (ATA),Bahia,8.86,5,4.74,2.6,0.3,,,1.0,,14.0,3.0,4.0,1.0,,,,,,,,3.0,1.0,,6,2020,7.0,35.0
Jean Pyerre (MEI),Grêmio,12.73,3,4.73,0.0,0.0,,,,,4.0,5.0,1.0,1.0,,,,,,,,2.0,,,6,2020,7.0,20.0
Jô (ATA),Corinthians,12.28,5,4.72,1.2,-0.2,,2.0,1.0,,5.0,3.0,5.0,,,,,,,1.0,,4.0,,,6,2020,,23.0
Gabriel Lacerda (ZAG),Ceará,4.06,4,4.65,7.2,0.17,,,1.0,2.0,2.0,,1.0,,,,,,,,,2.0,,,6,2020,4.0,16.0
Sabino (ZAG),Coritiba,8.33,6,4.6,16.2,3.15,,2.0,,1.0,4.0,1.0,,1.0,,,,,,,,4.0,1.0,,6,2020,7.0,37.0
Luciano (ATA),São Paulo,6.37,4,4.57,0.8,-0.92,,1.0,1.0,,7.0,1.0,,,,,,,1.0,,,6.0,,,6,2020,7.0,10.0
Cléber (ATA),Ceará,11.38,6,4.55,2.5,-0.63,,3.0,,,4.0,5.0,3.0,,,,,,,,,12.0,2.0,,6,2020,3.0,23.0
Jorge Sampaoli (TEC),Atlético-MG,13.16,5,4.54,0.0,0.0,,,,,,,,,,,,,,,,,,,6,2020,,
Júnior Alonso (ZAG),Atlético-MG,10.77,5,4.48,0.0,0.0,,,,2.0,,3.0,,1.0,,,,,1.0,,,6.0,,,6,2020,14.0,20.0
Gatito Fernández (GOL),Botafogo,13.19,5,4.44,3.5,0.26,,,,1.0,,,,,8.0,,,,,,5.0,,,,6,2020,,48.0
Arrascaeta (MEI),Flamengo,16.58,5,4.36,0.3,-1.27,,1.0,,,4.0,3.0,4.0,1.0,,,,,,,,5.0,,,6,2020,9.0,49.0
Renato Gaúcho (TEC),Grêmio,12.68,5,4.31,0.0,0.0,,,,,,,,,,,,,,,,,,,6,2020,,
Fernando Miguel (GOL),Vasco,8.68,5,4.24,-0.3,-1.89,,,,3.0,1.0,,,,4.0,,,,,,3.0,,,,6,2020,,43.0
Fernando Prass (GOL),Ceará,6.33,6,4.23,11.9,0.87,,,,2.0,,,,,10.0,,,,1.0,,9.0,,,,6,2020,,46.0
Patrick (MEI),Internacional,10.7,6,4.23,2.8,-1.0,,,1.0,,12.0,2.0,4.0,2.0,,,,,,,,13.0,1.0,,6,2020,13.0,40.0
Raniel (ATA),Santos,5.62,1,4.2,4.2,-0.38,,,,,5.0,1.0,2.0,,,,,,,,,3.0,2.0,,6,2020,1.0,
Yago Pikachu (LAT),Vasco,7.74,2,4.15,1.2,-1.32,,,,1.0,2.0,,1.0,,,,,,,,,4.0,,,6,2020,4.0,9.0
Guilherme Santos (LAT),Botafogo,7.11,5,4.12,-0.6,-0.67,,,1.0,1.0,5.0,3.0,,,,,,,,,,9.0,,,6,2020,12.0,18.0
Ramiro (MEI),Corinthians,7.58,4,4.1,8.4,1.67,,1.0,,,2.0,2.0,1.0,,,,,,,,,5.0,,,6,2020,9.0,19.0
Benítez (MEI),Vasco,8.9,5,4.08,3.3,0.22,,,,,12.0,3.0,1.0,,,,,,1.0,,,7.0,1.0,,6,2020,21.0,42.0
Fernando Diniz (TEC),São Paulo,8.91,5,4.05,4.01,0.12,,,,,,,,,,,,,,,,,,,6,2020,,
Bruno Pacheco (LAT),Ceará,8.53,5,4.04,8.4,1.17,,,,2.0,7.0,,,,,,,,,,,11.0,,,6,2020,16.0,38.0
Paulinho Bóia (ATA),São Paulo,4.81,3,4.03,5.0,0.41,,,,,9.0,1.0,2.0,1.0,,,,,,,,5.0,1.0,,6,2020,6.0,16.0
Tinga (LAT),Fortaleza,6.3,4,4.0,7.1,0.85,,,1.0,1.0,2.0,,,,,,,,,,,1.0,,,6,2020,11.0,55.0
Léo Cittadini (MEI),Athlético-PR,12.95,5,3.96,0.0,0.0,,1.0,,,8.0,5.0,1.0,,,,,,1.0,,,6.0,,,6,2020,9.0,14.0
Vinícius (MEI),Ceará,7.32,3,3.93,8.1,1.41,,1.0,,,1.0,4.0,1.0,,,,,,,,,2.0,,,6,2020,2.0,21.0
Léo Natel (ATA),Corinthians,4.54,4,3.93,2.6,0.08,,1.0,,,4.0,3.0,2.0,,,,,,1.0,,,8.0,1.0,,6,2020,9.0,16.0
Cuca (TEC),Santos,9.9,6,3.93,2.25,0.05,,,,,,,,,,,,,,,,,,,6,2020,,
Guto Ferreira (TEC),Ceará,8.34,6,3.9,6.87,0.57,,,,,,,,,,,,,,,,,,,6,2020,,
Fábio Sanches (ZAG),Goiás,6.92,4,3.9,0.0,0.0,,,,1.0,3.0,2.0,1.0,,,,,,,,,1.0,,,6,2020,8.0,12.0
Tiago Nunes (TEC),Corinthians,9.7,5,3.85,2.67,-0.01,,,,,,,,,,,,,,,,,,,6,2020,,
Rodriguinho (MEI),Bahia,14.09,5,3.84,0.4,-0.84,,1.0,1.0,,13.0,4.0,2.0,,,,,,,,,5.0,1.0,,6,2020,1.0,39.0
Sander (LAT),Sport,10.46,6,3.83,4.5,0.18,,,,,13.0,1.0,1.0,,,,,,,,,3.0,,,6,2020,21.0,50.0
Gustavo Gómez (ZAG),Palmeiras,12.38,4,3.82,0.8,-0.54,,1.0,,1.0,1.0,,,,,,,,,,,5.0,1.0,,6,2020,6.0,12.0
Abner Vinícius (LAT),Athlético-PR,9.31,5,3.8,0.0,0.0,,1.0,,1.0,2.0,2.0,,,,,,,,,,7.0,,,6,2020,11.0,41.0
Nino Paraíba (LAT),Bahia,8.67,4,3.78,3.2,0.52,,,,1.0,4.0,1.0,,,,,,,,,,2.0,,,6,2020,12.0,37.0
Michel Araújo (MEI),Fluminense,6.33,6,3.65,3.2,-0.1,,,,,24.0,4.0,3.0,,,,,,1.0,,,11.0,1.0,,6,2020,14.0,29.0
Robson (ATA),Coritiba,6.81,6,3.6,4.2,-0.1,,1.0,,,15.0,3.0,1.0,1.0,,,,,,,,4.0,5.0,,6,2020,7.0,30.0
Juninho (ZAG),Bahia,8.72,5,3.58,1.4,-0.37,,1.0,,1.0,2.0,,1.0,,,,,,,,,1.0,,,6,2020,5.0,18.0
Renê (LAT),Flamengo,5.75,2,3.5,5.0,0.65,,,,1.0,1.0,,,,,,,,1.0,,,1.0,,,6,2020,5.0,10.0
Rafael Vaz (ZAG),Goiás,7.53,4,3.5,0.0,0.0,,1.0,,1.0,2.0,3.0,2.0,,,,,,2.0,,,4.0,,,6,2020,4.0,28.0
Artur (ATA),Bragantino,12.95,6,3.47,4.5,0.34,,,1.0,,18.0,7.0,4.0,,,,,,1.0,,,5.0,2.0,,6,2020,7.0,51.0
Henrique (LAT),Vasco,6.89,5,3.44,-1.0,-1.12,,,,3.0,2.0,,,,,,,,2.0,,,12.0,,,6,2020,14.0,28.0
Rodrigo Caio (ZAG),Flamengo,9.73,6,3.37,4.4,0.45,,,,2.0,2.0,3.0,,,,,,,1.0,,,4.0,,,6,2020,12.0,12.0
Rogério Ceni (TEC),Fortaleza,7.15,6,3.32,6.98,1.23,,,,,,,,,,,,,,,,,,,6,2020,,
Jean (GOL),Atlético-GO,7.73,5,3.28,5.3,1.61,,,,1.0,1.0,,1.0,,8.0,,,,1.0,,8.0,1.0,,,6,2020,,38.0
Marquinhos (ATA),Sport,5.96,6,3.28,5.1,0.86,,,,,28.0,3.0,,,,,,,1.0,,,9.0,,,6,2020,13.0,32.0
Roger Machado (TEC),Bahia,7.83,5,3.25,1.67,-0.05,,,,,,,,,,,,,,,,,,,6,2020,,
Sidcley (LAT),Corinthians,7.17,5,3.24,-0.5,-0.35,,,,1.0,9.0,1.0,1.0,,,,,,,,,4.0,1.0,,6,2020,11.0,38.0
Evanilson (ATA),Fluminense,8.5,5,3.24,1.5,-0.46,,1.0,,,22.0,1.0,3.0,,,,,,2.0,,,6.0,2.0,,6,2020,2.0,12.0
Vanderlei (GOL),Grêmio,8.34,3,3.23,0.0,0.0,,,,2.0,,,,,1.0,,,,,,1.0,,,,6,2020,,23.0
Jonatan Gomez (MEI),Sport,11.86,6,3.23,3.0,0.28,,1.0,,,12.0,8.0,1.0,,,,,,,,,6.0,,,6,2020,3.0,22.0
Vagner Mancini (TEC),Atlético-GO,5.5,5,3.2,1.98,0.18,,,,,,,,,,,,,,,,,,,6,2020,,
Gustavo Henrique (ZAG),Flamengo,6.32,2,3.2,7.3,0.8,,,,1.0,,,,,,,,,,,,2.0,,,6,2020,3.0,6.0
Odair Hellmann (TEC),Fluminense,8.36,6,3.16,2.97,-0.14,,,,,,,,,,,,,,,,,,,6,2020,,
Tiago (ZAG),Ceará,5.55,2,3.1,4.2,0.45,,,,1.0,1.0,,,,,,,,1.0,,,2.0,,,6,2020,5.0,13.0
Domènec Torrent (TEC),Flamengo,8.35,6,3.09,5.27,0.77,,,,,,,,,,,,,,,,,,,6,2020,,
Léo Ortiz (ZAG),Bragantino,7.37,6,3.05,2.8,0.64,,1.0,,,5.0,1.0,1.0,,,,,,1.0,,,7.0,,,6,2020,13.0,17.0
Patrick de Paula (MEI),Palmeiras,3.79,5,3.04,0.9,-1.52,,1.0,,,5.0,1.0,,1.0,,,,,,,,11.0,,,6,2020,9.0,26.0
Pablo (ATA),São Paulo,8.89,5,3.0,4.3,-0.12,,1.0,,,8.0,13.0,2.0,,,,,,1.0,,,13.0,6.0,,6,2020,3.0,13.0
William Matheus (LAT),Coritiba,4.92,6,3.0,6.0,0.66,,,2.0,1.0,7.0,2.0,1.0,,,,,,,,,6.0,2.0,,6,2020,6.0,53.0
Vanderlei Luxemburgo (TEC),Palmeiras,10.21,5,3.0,2.34,-0.08,,,,,,,,,,,,,,,,,,,6,2020,,
Elton (ATA),Sport,12.02,6,2.95,-0.8,-1.01,,2.0,,,1.0,7.0,3.0,1.0,,,,,1.0,,,7.0,8.0,,6,2020,1.0,25.0
Paulo Autuori (TEC),Botafogo,7.56,5,2.94,0.6,-0.38,,,,,,,,,,,,,,,,,,,6,2020,,
Réver (ZAG),Atlético-MG,7.48,3,2.87,0.0,0.0,,,,1.0,3.0,,,,,,,,,,,2.0,,,6,2020,5.0,19.0
Tchê Tchê (MEI),São Paulo,8.32,5,2.82,2.9,0.05,,,,,7.0,4.0,3.0,,,,,,1.0,,,1.0,,,6,2020,8.0,17.0
Andrey (MEI),Vasco,5.11,4,2.82,0.0,0.0,,,2.0,,7.0,1.0,1.0,,,,,,3.0,,,12.0,,,6,2020,10.0,22.0
Felipe (MEI),Fortaleza,4.85,6,2.82,0.7,-0.87,,,,,14.0,2.0,1.0,,,,,,1.0,,,9.0,,,6,2020,16.0,24.0
Gabriel Menino (MEI),Palmeiras,4.6,5,2.82,-0.6,-0.61,,,1.0,,11.0,3.0,1.0,,,,,,1.0,,,3.0,4.0,,6,2020,9.0,35.0
Fagner (LAT),Corinthians,11.69,3,2.73,3.0,-0.17,,,,,1.0,1.0,2.0,,,,,,,,,5.0,,,6,2020,10.0,30.0
Leandro Carvalho (ATA),Ceará,6.11,4,2.7,3.7,0.78,,,1.0,,4.0,3.0,1.0,,,,,,2.0,,,2.0,,,6,2020,7.0,18.0
Hyuri (ATA),Atlético-GO,6.97,5,2.68,1.5,0.24,,1.0,,,3.0,3.0,1.0,,,,,,,,,7.0,3.0,,6,2020,6.0,7.0
Filipe Luís (LAT),Flamengo,5.79,6,2.68,7.5,1.54,,,,2.0,7.0,1.0,2.0,,,,1.0,,1.0,,,7.0,,,6,2020,15.0,51.0
Igor Vinícius (LAT),São Paulo,5.65,4,2.62,3.6,-0.09,,,,1.0,5.0,1.0,3.0,,,,,,1.0,,,10.0,,,6,2020,8.0,24.0
Éderson (MEI),Corinthians,6.5,5,2.6,8.6,1.94,,,,,5.0,1.0,1.0,,,,,,,,,8.0,,,6,2020,14.0,15.0
Charles (MEI),Ceará,5.9,6,2.58,3.5,0.17,,,,,2.0,1.0,,,,,,,,,,11.0,,,6,2020,22.0,28.0
Rossi (ATA),Bahia,5.58,5,2.54,-0.5,-0.69,,1.0,,,9.0,1.0,2.0,,,,,,1.0,,,6.0,1.0,,6,2020,6.0,35.0
Luan Peres (ZAG),Santos,5.77,6,2.53,1.0,0.12,,,1.0,1.0,5.0,1.0,,,,,,,,,,,,,6,2020,4.0,21.0
Gerson (MEI),Flamengo,9.52,5,2.52,-1.1,-1.47,,,,,16.0,2.0,,,,,,,2.0,,,13.0,,,6,2020,15.0,15.0
Felipe Conceição (TEC),Bragantino,5.95,6,2.46,0.81,-0.22,,,,,,,,,,,,,,,,,,,6,2020,,
Nicolas (LAT),Atlético-GO,5.91,5,2.42,0.5,0.01,,,,1.0,5.0,3.0,2.0,,,,,,,,,6.0,,,6,2020,11.0,82.0
