Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,RB,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PE,rodada,ano,DS,PI
João Paulo (MEI),Avaí,3.93,6,1.2,-1.7,-0.95,5.0,,,,14.0,3.0,3.0,,,,,,1.0,,,10.0,,21.0,6,2019,,
Piris da Motta (MEI),Flamengo,3.83,3,1.2,1.2,-0.17,3.0,,,,2.0,,,,,,,,,,,2.0,,3.0,6,2019,,
Betão (ZAG),Avaí,2.32,5,1.16,0.0,0.0,6.0,,,1.0,6.0,,,,,,,,3.0,,,5.0,,9.0,6,2019,,
D'Alessandro (MEI),Internacional,7.14,4,1.08,0.0,0.0,1.0,,1.0,,3.0,4.0,2.0,,,,,,,1.0,,,1.0,16.0,6,2019,,
Matheus Barbosa (MEI),Avaí,3.21,4,1.05,-1.1,-0.2,5.0,,,,1.0,2.0,,,,,,,,,,5.0,1.0,8.0,6,2019,,
Ganso (MEI),Fluminense,7.76,3,1.03,-0.6,-0.61,2.0,,,,3.0,1.0,3.0,,,,,,1.0,,,4.0,,6.0,6,2019,,
Arboleda (ZAG),São Paulo,6.53,3,0.87,-2.3,-1.97,1.0,,,1.0,2.0,,,,,,,,,,,4.0,1.0,8.0,6,2019,,
Allan (MEI),Fluminense,2.68,5,0.86,0.0,0.0,9.0,,,,5.0,3.0,3.0,,,,,,3.0,,,12.0,,19.0,6,2019,,
Jonathan (LAT),Athlético-PR,4.71,2,0.8,0.0,0.0,3.0,,,,,,1.0,,,,,,1.0,,,3.0,,2.0,6,2019,,
Michel (MEI),Grêmio,4.04,5,0.8,1.1,0.68,13.0,,,,,1.0,2.0,,,,2.0,,1.0,,,11.0,,4.0,6,2019,,
Diego Alves (GOL),Flamengo,4.2,3,0.67,5.0,1.65,,,,,,,,,4.0,,,,,,5.0,,,,6,2019,,
Marquinhos Gabriel (MEI),Cruzeiro,3.85,4,0.6,1.2,0.2,2.0,,,,1.0,,,,,,,,,,,1.0,,2.0,6,2019,,
Gilson (LAT),Botafogo,3.93,3,0.5,-2.0,-1.59,1.0,,,1.0,5.0,,,,,,,,2.0,,,4.0,,5.0,6,2019,,
Valdo (ZAG),Ceará,2.26,2,0.5,-0.2,-0.26,1.0,,,,1.0,,1.0,,,,,,,,,2.0,,4.0,6,2019,,
Deyverson (ATA),Palmeiras,10.04,1,0.5,0.5,-2.96,,,,,4.0,3.0,,,,,,,,,,2.0,4.0,3.0,6,2019,,
Paulo André (ZAG),Athlético-PR,3.8,3,0.4,0.0,-0.76,,,,1.0,,,,,,,,,1.0,,,3.0,,1.0,6,2019,,
Leonardo Silva (ZAG),Atlético-MG,4.88,3,0.33,2.5,0.69,1.0,,,,3.0,,,,,,,,1.0,,,,,,6,2019,,
Quintero (ZAG),Fortaleza,1.87,6,0.28,-1.1,-0.38,2.0,,,,4.0,,1.0,,,,,,,,,3.0,,10.0,6,2019,,
Edu Dracena (ZAG),Palmeiras,6.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,6,2019,,
Felipe Melo (MEI),Palmeiras,10.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,6,2019,,
Nilton (MEI),CSA,3.29,4,-0.13,0.0,0.06,3.0,,,,5.0,1.0,,,,,,,2.0,,,5.0,,6.0,6,2019,,
Rodinei (LAT),Flamengo,2.98,3,-0.23,1.8,0.26,1.0,,,,1.0,1.0,,,,,,,1.0,,,2.0,1.0,,6,2019,,
Douglas (ZAG),Chapecoense,2.53,5,-0.24,0.7,0.08,1.0,,,1.0,1.0,1.0,,,,,,,2.0,,,7.0,,5.0,6,2019,,
Caíque Sá (LAT),Chapecoense,3.03,2,-0.25,2.2,0.8,3.0,,,,1.0,,,,,,,,1.0,,,4.0,,5.0,6,2019,,
Danilo Barcelos (LAT),Vasco,3.63,4,-0.43,2.1,0.78,6.0,,,,2.0,1.0,1.0,,,,,1.0,,,,11.0,1.0,9.0,6,2019,,
Leonardo Valencia (MEI),Botafogo,3.74,4,-0.48,-1.1,-0.43,1.0,,,,,3.0,1.0,,,,,,2.0,,,2.0,1.0,5.0,6,2019,,
Diego Souza (ATA),Botafogo,3.43,5,-0.54,-0.8,-0.27,1.0,,,,6.0,3.0,,,,,,,1.0,,,6.0,2.0,12.0,6,2019,,
Thuler (ZAG),Flamengo,1.99,3,-0.63,-0.6,-0.42,1.0,,,,1.0,,,,,,,,1.0,,,2.0,,3.0,6,2019,,
Rodolfo (GOL),Fluminense,1.88,5,-0.9,-2.6,-0.67,,,,,,,,,5.0,,,,,,9.0,,,5.0,6,2019,,
Rhodolfo (ZAG),Flamengo,4.63,1,-1.0,0.0,0.0,,,,,,,,,,,,,,,,2.0,,,6,2019,,
Werley (ZAG),Vasco,0.75,4,-1.02,0.4,0.01,,,,,1.0,,3.0,,,,1.0,,,,,2.0,2.0,4.0,6,2019,,
Wellington (MEI),Athlético-PR,0.75,5,-1.18,-4.1,-0.29,2.0,,,,1.0,,,,,,,,1.0,,,7.0,,13.0,6,2019,,
Uendel (LAT),Internacional,1.8,1,-1.4,0.0,0.0,,,,,,,1.0,,,,,,,,,3.0,1.0,2.0,6,2019,,
Luan (MEI),São Paulo,3.31,1,-1.4,0.0,0.0,1.0,,,,,,,,,,,,1.0,,,,,3.0,6,2019,,
Patric (LAT),Atlético-MG,2.58,2,-2.3,-3.1,-0.7,1.0,,,,,1.0,,,,,,,1.0,,,5.0,,8.0,6,2019,,
Marcos Rocha (LAT),Palmeiras,16.19,2,11.55,10.9,1.61,8.0,1.0,,1.0,4.0,,,,,,,,,,,6.0,,3.0,7,2019,,
Thiago Galhardo (MEI),Ceará,11.14,4,10.95,8.6,-0.86,5.0,3.0,1.0,,6.0,4.0,3.0,1.0,,,,,,,,2.0,,15.0,7,2019,,
Jorge (LAT),Santos,14.5,5,9.32,9.6,0.73,10.0,,1.0,4.0,10.0,3.0,7.0,,,,,,1.0,,,8.0,1.0,9.0,7,2019,,
Rony (ATA),Athlético-PR,15.51,5,9.1,15.3,1.46,5.0,3.0,2.0,,13.0,5.0,2.0,,,,,,1.0,,,10.0,2.0,3.0,7,2019,,
Dudu (ATA),Palmeiras,19.29,2,8.65,11.9,1.75,,1.0,,,6.0,7.0,2.0,,,,,,,,,,1.0,4.0,7,2019,,
Gabriel (ATA),Flamengo,18.33,5,7.74,17.9,2.61,2.0,4.0,,,7.0,3.0,6.0,,,,,,1.0,,,2.0,5.0,13.0,7,2019,,
Rildo (ATA),Chapecoense,8.21,4,7.7,4.0,-0.92,5.0,2.0,,,12.0,6.0,1.0,,,,,,1.0,,,2.0,1.0,4.0,7,2019,,
Marcelo Salles (TEC),Flamengo,11.48,1,7.44,7.44,0.61,,,,,,,,,,,,,,,,,,,7,2019,,
